DRXFDCD,foodcode,food_description
58163110,58164540,"Rice, white, with gravy, fat not added in cooking"
58163110,58164550,"Rice, white, with gravy, fat added in cooking"
71802010,71801000,"Potato soup, NS as to made with milk or water"
71802010,71801010,"Potato soup, cream of, prepared with milk"
71802010,71801020,"Potato soup, prepared with water"
74402300,74402150,"Salsa, red, commercially-prepared"
74402300,74402200,"Salsa, red, homemade"
14110030,14104110,"Cheese, Cheddar, reduced fat"
14410400,14109010,"Cheese, Swiss"
14410420,14109030,"Cheese, Swiss, reduced fat"
14420000,14420100,"Cheese spread, American or Cheddar cheese base"
14502010,14502000,Imitation cheese
14502040,14502000,Imitation cheese
14504010,14502000,Imitation cheese
23108000,23107000,"Lamb, shoulder chop, cooked, NS as to fat eaten"
23108010,23107010,"Lamb, shoulder chop, cooked, lean and fat eaten"
23108020,23107020,"Lamb, shoulder chop, cooked, lean only eaten"
25220100,25220105,Beef sausage
25220110,25220105,Beef sausage
25220120,25220105,Beef sausage
25220130,25220105,Beef sausage
25220140,25220105,Beef sausage
25220370,25220350,Bratwurst
25221410,25221405,Pork sausage
25221420,25221405,Pork sausage
25221430,25221405,Pork sausage
25221470,25221460,Pork and beef sausage
25221650,25221405,Pork sausage
25221660,25221460,Pork and beef sausage
25221680,25221405,Pork sausage
25221840,25221830,Turkey or chicken sausage
25221850,25221830,Turkey or chicken sausage
26117150,26117140,"Haddock, coated, fried"
26125150,26125140,"Ocean perch, coated, fried"
26129150,26129140,"Pike, coated, fried"
26131150,26131140,"Pompano, coated, fried"
26133150,26133140,"Porgy, coated, fried"
26303150,26303140,"Clams, coated, fried"
26311130,26311160,"Lobster, steamed or boiled"
26311150,26311140,"Lobster, coated, fried"
26315150,26315140,"Oysters, coated, fried"
26317150,26317140,"Scallops, coated, fried"
28310210,27111410,Chili con carne with beans
28310220,27111410,Chili con carne with beans
28315100,28315050,"Beef vegetable soup with potato, pasta, or rice, chunky style, canned, or ready-to-serve"
28315110,28315050,"Beef vegetable soup with potato, pasta, or rice, chunky style, canned, or ready-to-serve"
28315120,28315050,"Beef vegetable soup with potato, pasta, or rice, chunky style, canned, or ready-to-serve"
28315130,28315050,"Beef vegetable soup with potato, pasta, or rice, chunky style, canned, or ready-to-serve"
28320110,28320160,"Pork vegetable soup with potato, pasta, or rice, stew type, chunky style"
28320120,28320160,"Pork vegetable soup with potato, pasta, or rice, stew type, chunky style"
28320150,28320160,"Pork vegetable soup with potato, pasta, or rice, stew type, chunky style"
28340170,28340180,"Chicken or turkey broth, less or reduced sodium, canned or ready-to-serve"
28340530,58403010,"Chicken or turkey noodle soup, canned or ready-to-serve"
28340620,28340510,"Chicken or turkey noodle soup, chunky style, canned or ready-to-serve"
31103000,31103010,"Egg, whole, boiled or poached"
31104000,31103010,"Egg, whole, boiled or poached"
31109000,32400065,"Egg white omelet, scrambled, or fried, made with oil"
31109010,32400080,"Egg white omelet, scrambled, or fried, made without fat"
32104900,32130010,"Egg omelet or scrambled egg, made with oil"
32400010,32400065,"Egg white omelet, scrambled, or fried, made with oil"
32400011,32400080,"Egg white omelet, scrambled, or fried, made without fat"
41601060,41601090,"Bean soup, with macaroni, home recipe, canned, or ready-to-serve"
41601170,41601090,"Bean soup, with macaroni, home recipe, canned, or ready-to-serve"
51121040,51121010,"Bread, garlic"
51161100,51161000,"Roll, sweet, with fruit, no frosting"
51161150,51161020,"Roll, sweet, with fruit, frosted"
51161200,51160000,"Roll, sweet, no frosting"
51165060,51165000,"Coffee cake, yeast type"
51201110,51300210,"Bread, whole wheat, with raisins"
51201120,51300220,"Bread, whole wheat, with raisins, toasted"
51204010,51301010,"Bread, wheat or cracked wheat"
51204020,51301020,"Bread, wheat or cracked wheat, toasted"
51302010,51301010,"Bread, wheat or cracked wheat"
51302020,51301020,"Bread, wheat or cracked wheat, toasted"
51302050,51301120,"Bread, wheat or cracked wheat, with raisins"
51302060,51301130,"Bread, wheat or cracked wheat, with raisins, toasted"
51803010,51301010,"Bread, wheat or cracked wheat"
51803020,51301020,"Bread, wheat or cracked wheat, toasted"
52208750,52208760,"Gordita/sope shell, plain, no filling"
52304200,52304150,"Muffin, oat bran"
52405100,52405010,"Bread, fruit"
53101000,53101100,"Cake, angel food, without icing or filling"
53102000,53102100,"Cake or cupcake, applesauce, without icing or filling"
53102500,53102700,"Cake or cupcake, banana, with icing or filling"
53103500,53116000,"Cake, pound, without icing or filling"
53103550,53116000,"Cake, pound, without icing or filling"
53103600,53116020,"Cake, pound, with icing or filling"
53104000,53104260,"Cake or cupcake, carrot, with icing or filling"
53104900,53105270,"Cake or cupcake, chocolate, devil's food or fudge, with icing or filling"
53104920,53105275,"Cake or cupcake, chocolate, devil's food or fudge, without icing or filling"
53104950,53105270,"Cake or cupcake, chocolate, devil's food or fudge, with icing or filling"
53105000,53105270,"Cake or cupcake, chocolate, devil's food or fudge, with icing or filling"
53105050,53105270,"Cake or cupcake, chocolate, devil's food or fudge, with icing or filling"
53105100,53105275,"Cake or cupcake, chocolate, devil's food or fudge, without icing or filling"
53105160,53105275,"Cake or cupcake, chocolate, devil's food or fudge, without icing or filling"
53105200,53105270,"Cake or cupcake, chocolate, devil's food or fudge, with icing or filling"
53105260,53105270,"Cake or cupcake, chocolate, devil's food or fudge, with icing or filling"
53105900,53105270,"Cake or cupcake, chocolate, devil's food or fudge, with icing or filling"
53106000,53105275,"Cake or cupcake, chocolate, devil's food or fudge, without icing or filling"
53106050,53105270,"Cake or cupcake, chocolate, devil's food or fudge, with icing or filling"
53106100,53117100,"Cake or cupcake, spice, without icing or filling"
53107000,53100100,"Cake or cupcake, NS as to type"
53107100,53100100,"Cake or cupcake, NS as to type"
53107200,53100100,"Cake or cupcake, NS as to type"
53108000,53105270,"Cake or cupcake, chocolate, devil's food or fudge, with icing or filling"
53108100,53105275,"Cake or cupcake, chocolate, devil's food or fudge, without icing or filling"
53113950,53114100,"Cake or cupcake, lemon, with icing or filling"
53115000,53115200,"Cake or cupcake, marble, with icing or filling"
53115300,53115320,"Cake or cupcake, nut, with icing or filling"
53115400,53115410,"Cake or cupcake, oatmeal"
53115600,53121275,"Cake or cupcake, yellow, without icing or filling"
53116490,53116510,"Cake or cupcake, pumpkin, with icing or filling"
53116560,53116550,"Cake or cupcake, raisin-nut"
53117000,53117200,"Cake or cupcake, spice, with icing or filling"
53118000,53118100,"Cake, sponge, without icing or filling"
53118310,53118300,"Cake, sponge, chocolate"
